    dBdt_X    dBdt_Z
 1.74025e-15  1.04086e-12 
-1.25875e-14  7.97886e-13 
-2.08030e-14  6.07003e-13 
-2.41469e-14  4.62935e-13 
-2.42881e-14  3.53264e-13 
-2.25480e-14  2.65889e-13 
-1.97119e-14  1.96391e-13 
-1.62622e-14  1.41865e-13 
-1.26546e-14  9.95293e-14 
-9.99900e+03  1.05637e-09 
-9.99900e+03  7.16117e-10 
-9.99900e+03  5.27700e-10 
-9.99900e+03  3.94682e-10 
-9.99900e+03  3.06657e-10 
-9.99900e+03  2.36035e-10 
-9.99900e+03  1.90223e-10 
-9.99900e+03  1.50267e-10 
-9.99900e+03  1.23683e-10 
-9.99900e+03  1.01216e-10 
-9.99900e+03  8.15577e-11 
-9.99900e+03  6.57844e-11 
-9.99900e+03  5.25264e-11 
 1.32730e-12  4.19307e-11 
 1.43702e-12  3.31297e-11 
 1.42052e-12  2.61351e-11 
 1.31280e-12  2.04373e-11 
 1.14804e-12  1.61060e-11 
 9.64861e-13  1.26368e-11 
 7.83761e-13  9.92007e-12 
 6.12919e-13  7.72512e-12 
 4.61339e-13  5.98932e-12 
 3.34824e-13  4.64084e-12 
 2.33602e-13  3.60097e-12 
 1.59072e-13  2.83471e-12 
 1.01516e-13  2.22510e-12 
 5.74451e-14  1.73403e-12 
 2.55663e-14  1.34667e-12 
 3.39398e-15  1.03988e-12 
-1.11535e-14  7.97355e-13 
-1.95633e-14  6.06790e-13 
-2.30870e-14  4.62921e-13 
-2.33976e-14  3.53362e-13 
-2.18186e-14  2.66045e-13 
-1.91310e-14  1.96567e-13 
-1.58150e-14  1.42033e-13 
-1.23239e-14  9.96718e-14 
-9.99900e+03  1.05316e-09 
-9.99900e+03  7.14813e-10 
-9.99900e+03  5.27508e-10 
-9.99900e+03  3.95179e-10 
-9.99900e+03  3.07465e-10 
-9.99900e+03  2.36958e-10 
-9.99900e+03  1.91121e-10 
-9.99900e+03  1.51055e-10 
-9.99900e+03  1.24340e-10 
-9.99900e+03  1.01737e-10 
-9.99900e+03  8.19456e-11 
-9.99900e+03  6.60588e-11 
-9.99900e+03  5.27066e-11 
 1.49314e-12  4.20404e-11 
 1.57180e-12  3.31879e-11 
 1.52567e-12  2.61595e-11 
 1.39124e-12  2.04407e-11 
 1.20540e-12  1.60991e-11 
